review,sentiment
"Where to start? Some guy has some Indian pot that he's cleaning, and suddenly Skeletor attacks. He hits a woman in the neck with an axe, she falls down, but then gets up and is apparently uninjured. She runs into the woods, and it turns out there's the basement of a shopping center out there in the woods. She meets a utility worker and Skeletor attacks again. Luckily, like any good utility worker, he's got a gun and shoots at the guy. Doesn't work, everything starts on fire.<br /><br />Cut to some people walking through the woods. Even though they've been hiking together for some time, they sit down and introduce themselves to each other. Wouldn't they have probably done that when they first met? Anyhow, they're ""undercover"" Delta team members (undercover, I suppose, because that way they don't have to pay to dress them in uniforms). The cute girls are various things such as a sniper school instructor and, oh, I can't remember the rest. It doesn't matter. Eventually they all take their guns out and immediately start aiming them at various things. ? Anyhow, they meet an old Indian who is sitting out in the woods. He wants beans. You know, like pork and beans? He mumbles some stuff, I can only assume that it's the premise of the movie. I relied on having heard the premise from the commercials, because you can't really understand anything he says.<br /><br />So, they walk around the woods some more. All the dialogue is a load of quasi-military, macho BS. I mean all of it, as in every single word. Like ""This reminds me of when we were in Kabul"" or ""This reminds me of when we were in Laos"". Skeletor attacks again. Let me give you a rundown of a basic attack. One of the female characters is crouched behind a tree and she aims her gun at the approaching guy on the horse. For some reason, she doesn't fire but yells several times for someone else. Then as Skeletor approaches, she jumps out from behind the tree so that Skeletor can stick her with his spear. Then everybody starts shooting. The bullets cause sparks to fly from the trees. Apparently the folks who made this movie never shot a tree with a bullet. They don't make sparks.<br /><br />Then Casper Van Diem is all of a sudden driving a semi-truck, trying to run over Skeletor. He misses, and the truck slides to a stop. Van Diem is injured, apparently he slid across the seat and bumped his hip on the window crank or something, so he crawls out of the truck and it explodes. Later he's in the woods dying and everybody says a bunch of quasi-military, macho BS. They meet a couple guys in the woods and blow their ""undercover"" status by immediately identifying themselves as being from the Army. They beat on the guys for some reason, then they go away.<br /><br />Some other stuff happens, people mumble, the camera shakes, etc.<br /><br />I think it comes to an end eventually.<br /><br />My theory is that the Sci-Fi Channel is getting a little annoyed with everyone bashing their movies, so they put this out to remind us all how bad movies can really be. Like, you think our movies are bad? Well, you haven't seen bad. HERE'S BAD!!! Okay, now that we've got that out of the way, the rest of our movies are pretty good in comparison, right?<br /><br />Well, it's just a theory.",negative
"This should be re-named ""Everybody Loves Sebastian"". The 1983 rural go-nowhere town high school junior (or senior? - they seemed to flip flop on that one) with weird hair and ""Leo-like"" good looks has a big plate full of issues. His step-dad announces definite plans to have a sex-change operation, upon which his mom calls the marriage quits; Sebastian is called the ""f"" word by everyone and their mother, all-the-while ""kissing around"" with various girls, getting high on Ready-Whip at a supermarket, and saving a ""strawberry"" prostitute from the clutches of her ruthless pimp.<br /><br />Sebastian's ""buddies"" make Eddie Haskal look like a choir boy; bad association doesn't get much worse. Sebastian seems to go for ""Harold's"" suicide attempts record (although he won't admit suicidal tendanccies). For no apparent reason the genius level SAT scoring Sebastian MUST graduate a year early, although he has no clue about the future, nor does he want to attend college (what gives with this nonsense?).<br /><br />This film is a look into a few weeks in the life of someone who is PRETTY MESSED UP. The final scene suggests that things will be alright, although the HOW is left entirely up to the viewer.<br /><br />The makers of this film seem to bank solely on the undisputed appeal of the very attractive male lead. The ""story"" leaves a lot to be desired. Looking for ""what will this gorgeous kid do next...?"" doesn't exactly satisfy. The lackluster production values just don't measure up to other films, independent or otherwise. A low budget and weak story need more than a pretty face to carry it through. The ""results"" of this project are forgettable and an insult to intelligent cinema fans.",negative
"Mixing small town sheriffs, high-school students, fake rock music, and some weirdo who kills for, well, no reason in particular, this film is essentially a re-make of ""The Giant Gila Monster"" - except without the gila monster, of course.<br /><br />Now, anyone who has actually seen ""Giant Gila Monster"", knows that it is one of the worst made films of all time, frequently so slow, it's not even funny. And I can't believe that by 1967, ""Giant Gila Monster"" had earned such a reputation that young directors were just dying to get to work on a sequel, let alone a remake. So will someone please explain to me why this film was made?! The dance sequence, by the way, is historically interesting, although about three years out of date; but even that's spoiled, since it goes on... and on... and... on....",negative
"Trapped: buried alive brings us to a resort that has just opened, and is soon to close.<br /><br />We start with a guy in gear blowing up drifts, to avoid the possibility of avalanches. somehow, that doesn't make sense. anyways, he's about to blow away one particularly big one, when he notices the resort is open. despite his best efforts, higher authority tells him his day is over.<br /><br />soon, as everyone expects, an avalanche hits.<br /><br />Look, i'm not gonna reveal any more, all i can say is this was a B-movie designed for the family channel (which i just saw it on, and the fact it had no commercials proves it's a B-movie) anyways, it's a pretty decent film, but it's partially unreal.<br /><br />firsthand, when people are buried by ice and snow, they're buried. not just traced by powder. or, what about a CD for a screwdriver? it's not possible. and finally, what i can't stress enough, is that an explosion cannot stop a avalanche, guaranteed.<br /><br />furthermore, it's worth a rental or a TV viewing, but not owning. 7/10.<br /><br />The movie is rated PG, but maybe it should have received something a little more strong. a boy nearly loses his foot in an elevator, but his leg is cut around the ankle, a guy is toasted by electricity and diesel, and in the weight room, dead people are laying around.<br /><br />enjoy.",positive
"Why is it that a woman cannot be a strong character in a movie without sleeping with the leading man? The campaign manager in this movie dreams of leading Tom Sellick to the White House. It's all she can think about. So, why on earth must she have had an affair with him? It added nothing to the plot and served only to demean successful women. The only value of that tidbit was the cute ""we've all slept with your husband"" scene. <br /><br />Also, couldn't the people who made this movie have watched the national conventions they were spoofing? Airing between the two major political conventions only served to highlight their total ignorance of the nomination and selection process.",negative
"A swedish splatter movie? Has the world gone insane?<br /><br />Probably not, but it's still not a common sight in these days with swedish gore-flicks, the b-movie business in Sweden seems to have troubles these days, long gone are the golden days of ""Rymdinvasion i lappland"". And this movie seems to have some troubles on its own: it's just too much talk in it, it still manages to be somewhat amusing mainly for the good FX, which are great for a b-movie. The script and most of the acting is still pretty bad though, but that actually don't matter that much, it's supposed to be a gore flick and nothing more, that's where it goes a bit wrong for some reason. There's is simply not enough blood to fill the void. <br /><br />Every person who know about Gert Fylking will have a good laugh over his role as a sgt. though. I nearly laughed my ass off. It's really that hilariously bad. <br /><br />Besides the good parts I've listed there's really nothing else to recommend here unless you're starved for swedish B-movies.<br /><br />4/10",negative
"I saw this film on True Movies (which automatically made me sceptical) but actually - it was good. Why? Not because of the amazing plot twists or breathtaking dialogue (of which there is little) but because actually, despite what people say I thought the film was accurate in it's depiction of teenagers dealing with pregnancy.<br /><br />It's NOT Dawson's Creek, they're not graceful, cool witty characters who breeze through sexuality with effortless knowledge. They're kids and they act like kids would. <br /><br />They're blunt, awkward and annoyingly confused about everything. Yes, this could be by accident and they could just be bad actors but I don't think so. Dermot Mulroney gives (when not trying to be cool) a very believable performance and I loved him for it. Patricia Arquette IS whiny and annoying, but she was pregnant and a teenagers? The combination of the two isn't exactly lavender on your pillow. The plot was VERY predictable and but so what? I believed them, his stress and inability to cope - her brave, yet slightly misguided attempts to bring them closer together. I think the characters, acted by anyone else, WOULD indeed have been annoying and unbelievable but they weren't. It reflects the surreality of the situation they're in, that he's sitting in class and she walks on campus with the baby. I felt angry at her for that, I felt angry at him for being such a child and for blaming her. I felt it all.<br /><br />In the end, I loved it and would recommend it.<br /><br />Watch out for the scene where Dermot Mulroney runs from the disastrous counselling session - career performance.",positive
"I wasted 35 minutes of my life on this turkey before I gave up. The main character is completely clueless and astoundingly unsympathetic, but there is no humor in his blundering. As soon as he arrives in Germany, the screenwriter pulls the old ""there's only one room in the hotel, you'll have to share a room with a pretty girl"" stunt. Come on, at least you could let them develop their relationship a bit first. Watch ""It Happened One Night"" to see how to do it right--or any of a thousand movies since then.<br /><br />The acting is consistently third-rate, and the improvised dialogue should have been left on the cutting-room floor. It meanders with no plan at all, despite the fact that the film telegraphs the relationship's destination from the moment Greta is introduced.<br /><br />The first song, in the boardroom, is mildly funny but badly sung. The rest of the songs (well, to be fair, I only heard those in the first half-hour) are just pointless and awful. Most of the singers are painfully out of tune, but not in any intentionally humorous sort of way.",negative
"i can't believe how dumb this movie truly is. the storyline (written by keira knightley's mother) is what ruins the movie to the extreme. it is straight out dull, absurd, and makes absolutely no sense whatsoever...<br /><br />this movie lagged so bad for most of it, especially at the beginning. the story just kept going on and on about their everyday flirts with each other, often times seeming like a threesome. in this movie, you have an annoying deadbeat couple (the poet and his wife) who are complete total drunks from the start. the wife sleeps around with other men to make ends meet, while the poet is a pervert who thrives on cheap boos and women. the wife, who waaayyyyyy too quickly becomes friends with his former childhood lover (played by keira) suddenly gets jealous, knowing full well that the two were lovers since they were kids. something doesn't seem right here....i mean, come on... get with the program lady! what'd you expect.<br /><br />bottom line is: former lovers meet again with new wife embracing it, then gets jealous, then former woman lover gets married and her husband gets jealous, bombards the crazy drunk couple's home, crazy husband calls police, and they end up going to court for the man's attempted murder charges. that's it summed up in a nutshell...<br /><br />this movie had it's moments such as the quality and good acting by cillian murphy, but other than that, i cannot believe i watched it... i complained about it during the movie and some family members watching it with me fell asleep. i decided to give it a chance and i should have stuck to my first instincts.",negative
"Just saw it yesterday in the Sao Paulo Intl Film Festival. Just before going I came here to see how it was rated, and at that time it was 7.4, a pretty nice rate...<br /><br />After 15 minutes I was dying to get out (never did this), but felt embarrassed to do so as the producer of the movie was in the screening.<br /><br />I did not like at all, the dialogs are shallow and lead nowhere, the characters are shallower than the dialogs, nothing lead anywhere, and the worst and worst: plenty of Siemens and Organics advertising on the movie. Despite the fact that I already paid to go to the movie and entertain myself, I still have to be bombarded by the main character chatting on the internet and Siemens mobile popping-up all the time on her lap-top; or another character having a bath or cutting her hair just to have Organics shampoo displayed enormously on the screen! All of this would be bearable if the plot, characters, romances, anything was good, but was bad, really bad! A ""don't know how to do"" sex-in-the-city.<br /><br />Don't waste your time or money.",negative
